id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442797177167872","2016-11-01","rt vivelafra shock gt huma abedin top clinton aid has deep al qaeda musbro terror tie wtf go fbi","katgrneyes","i respons low self esteemget grip firm believ ca nt teach common sens ca nt fix stupid matter hard tri","FL","1826","107904","5072"
"793442797013446656","2016-11-01","rt richardgrenel nbcnew panick they tri anyth dump trump","SLYR123","mom wife yoga teacher proud christian proud american trump support dog lover","TX","3516","124553","51"
"793442804894568451","2016-11-01","rt realdonaldtrump pleas rt trump threaten sue youvebeentrumpedtoo shown it stream live https","WeenWoods","fucktrump notmypresid impeachtrumpnow impeachthemal trumprussia trumpcollud trumpconspir imwithh theresist resist","CA","425","4918","1"
"793442803946782720","2016-11-01","rt kerpen network blame cop investig alleg crimin","marieatackett","proud mother boy airforc mom america first support defend conserv prolif dm","KY","1435","87547","598"
"793442800977137664","2016-11-01","rt ggreenwald nyt us offici doubt donald trump has direct link russia","djsnluv","trumpismypresid maga sethrich nosharia i israel godblessamerica godblessourpotus nativenewyork persist nolist dani","CA","3297","28413","441"
"793442803661406208","2016-11-01","rt halleybordercol call all chigagoan for trump trump flashmob trump tower chicago sat at mak","bekind4america","maga die hard trump fan mother grown son wife year live work hard burden otherspray better america","TX","16558","115163","706"
"793442802482884608","2016-11-01","elect reform wisconsin fund hit feingold iran deal new tv ad wipolit","wispoliticsfeed","this account longer activ pleas follow us wispolit coverag state polit capitol","WI","6662","11992","0"
"793442806849216513","2016-11-01","rt realdonaldtrump hillari s two offici favor to morocco result in million for clinton foundat draintheswamp","ckemp1542400","behind potus realdonaldtrump maga","PA","15570","247228","12491"
"793442805041340420","2016-11-01","so go explain how answer question i call bs amp email","qwestie","enough enough rankchoicevot peopleoverparti voteforchang","TX","2280","36474","0"
"793442805142188032","2016-11-01","rt ppollingnumb nation abcwashington post poll among those look to vote on elect day trump clinton","realNiggaTrump","","NY","252","9112","2714"
"793442804529635328","2016-11-01","rt lisabloom here updat complaint child rape file feder court donald trump recent heartbreak","nickypetersen","proud mom spunki boy phd studentmus love free think anim love immigr a blue bleed proud liber live bright red state","WY","1476","28011","3158"
"793442809533562880","2016-11-01","rt newtgingrich washington postabc poll absurd trump move point last daysh never point behi","zdaniel","aussiedc bureau chief abcnew ex rural reportersoutheast asia africa correspond wifemumauthor storytel angelmelbourn borntassi bred","WA","27609","41573","5720"
"793442811798401024","2016-11-01","washington speaker ryan say he vote for trump","VINneias","the unoffici vin disclaim i not imperson im not affili vin websit im not affili vosizneiascom vinnewscom we feed all news","NY","2784","251737","0"
"793442814520549381","2016-11-01","rt nickriccardi clinton campaign go back air colorado earli vote amp poll look good copolit","jstalnaker1","pierr delecto stan portfolio review trade etc view employ gop exil smalll liber nevertrump","FL","276","21605","55"
